IMO Number;Name;Total fuel consumption [m tonnes];Total CO₂ emissions [m tonnes];Fuel consumption per distance [kg / n mile];CO₂ emissions per distance [kg CO₂ / n mile];;
9278052;MTM COLORADO;2748.68;8683.9;106.28;335.77;;
9278064;MTM HUDSON;2147.19;6779.92;100.58;317.6;;
9278090;YM FOUNTAIN;8581.13;26957.44;233.59;733.8;;
9278143;MSC ELENI;11628.91;36744.94;201.97;638.18;;
9278234;COLOR FANTASY;16448.38;51493.85;234.74;734.87;;
9278428;ATLANTIC B;0;0;Division by zero!;Division by zero!;;
9278430;PANAMAX BREEZE;0;0;Division by zero!;Division by zero!;;
9278662;BLAAMANEN;621.63;1955.87;75.09;236.25;;
9278698;CARIBBEAN STAR;1785.23;5636.21;96.51;304.69;;
9278715;GINGA TIGER;1592.1;5006.42;92.94;292.26;;
9278727;GINGA LION;914.6;2861.15;84.86;265.46;;
9278765;KANG YU;1769.67;5594.85;93.76;296.42;;
9278777;KANG YAO;501.38;1562.75;85.21;265.59;;
9278791;FEDERAL NAKAGAWA;990.5;3145.45;79.83;253.5;;
9278806;GUTIAN LOYAL;1214.94;3786.68;99.21;309.2;;
9278868;WEST BAY;1970.82;6157.65;101.08;315.82;;
9278870;APAGEON;2572.5;8143.77;91.54;289.77;;
9278882;STELLA ISLAND;673.07;2122.45;72.76;229.43;;
9278911;SUPER BAYERN;292.5;922.38;67.88;214.06;;
9278923;LILA;131.33;410.87;40.87;127.88;;
9279202;ANGELINA AMORETTI;2892.16;9108.3;114.69;361.19;;
9279329;GRAND DOLPHIN;4331.29;13704.18;116.28;367.92;;
9279331;GRAND AURORA;690.73;2190.81;127.35;403.91;;
9279367;SILVER LADY;1121.32;3524.39;98.61;309.95;;
9279484;STARLIGHT;646;2014.82;109.31;340.92;;
9279537;TOPAZ;725.88;2327.17;27.14;87.01;;
9279551;SEA BRAVE;868;2738.31;78.65;248.13;;
9279733;SEA HERMES I;4152.36;13128.16;101.52;320.97;;
9279783;MARITSA;1667.72;5224.2;99.31;311.09;;
9279812;NEPTUNE KOPER;5698.6;17970.96;93.27;294.12;;
9279836;OMEGA;3712.3;11603.06;96.03;300.15;;
9279965;MSC FABIENNE;10842.54;34197.06;215.41;679.4;;
9279977;MSC POH LIN;961.25;3036.35;229.58;725.19;;
9279989;MSC STELLA;11400.78;35769.39;249.13;781.62;;
9280366;CONFIDENCE;3073.79;9616.82;220.12;688.67;;
9280615;CMA CGM MOZART;1090.5;3437.1;154.29;486.29;;
9280639;CMA CGM ROSSINI;2159.5;6804.59;177.44;559.13;;
9280770;ANNA SMILE;1609.98;5087.78;116.18;367.14;;
9280809;REN JIAN 19;0;0;Division by zero!;Division by zero!;;
9281267;MSC ORNELLA;1568.18;4956.85;187.79;593.58;;
9281279;MSC LISA;10028.63;31660.29;201.91;637.44;;
9281281;VICTORIA I;7292.46;23244.52;245.4;782.2;;
9281322;VOLCAN DE TAMASITE;6869.13;21413.75;172.71;538.41;;
9281334;VOLCAN DE TIMANFAYA;6831.97;21299.25;150.32;468.64;;
9281437;MARIETTA;3005.13;9410.87;110.72;346.74;;
9281487;SILVER LION;176.27;565.12;30.8;98.75;;
9281499;KAREWOOD PRIDE;277.22;888.77;26.63;85.37;;
9281504;KAREWOOD GLORY;330.2;1058.63;28.89;92.61;;
9281516;KAREWOOD BRAVE;511.89;1641.12;26.67;85.52;;
9281566;MARKOS I;1667.27;5244.96;141.29;444.49;;
9281578;LOUKAS I;2193.36;6882.82;107.94;338.72;;
9281920;MTM POTOMAC;2504.89;7939.28;98.64;312.63;;
9281968;VELVET ROSE;117.3;368.65;110.04;345.83;;
9282041;AXEL SPIRIT;802.8;2531.78;148.83;469.37;;
9282053;ESTHER SPIRIT;1544.49;4822.7;131.14;409.5;;
9282168;BOSTON TRADER;509.1;1587.18;79.25;247.07;;
9282170;MICHELANGELO TRADER;610.3;1918.43;93.13;292.74;;
9282338;SAROS B;785.56;2457.64;46.22;144.61;;
9282364;TATLISU;1294.91;4087.4;44.34;139.95;;
9282388;YUANNING SEA;1347.93;4232.07;107.16;336.44;;
9282390;YUANPING SEA;1323.22;4148.54;101.54;318.33;;
9282479;MAGNUS;1512.2;4735.12;173.92;544.58;;
9282481;PIPER;3222;10101.94;198.06;620.97;;
9282493;TARTAN;814.3;2549.37;200.57;627.92;;
9282510;DYLAN;3808.19;11928.94;102.7;321.7;;
9282558;HIGH PRIORITY;668.5;2082.17;88.54;275.78;;
9282613;PELAGIANI;626.7;1966.68;72.95;228.93;;
9282625;PGC COMPANION;1265.4;4055.85;133.21;426.98;;
9282780;TEAM CHALLENGE;831.02;2604.9;63.83;200.09;;
9282821;HOPE A.;1756.09;5517.4;118.49;372.29;;
9282924;MTM GIBRALTAR;1174.64;3713.6;79.47;251.23;;
9282948;NIMET TORLAK;767.81;2427.17;74.56;235.68;;
9282998;ALABAMA STAR;3643.88;11466.64;165.5;520.79;;
9283007;ARTABAZ;544.2;1694.64;140.19;436.54;;
9283186;MONTE CERVANTES;9373.95;29502.75;206.92;651.25;;
9283198;MONTE OLIVIA;8719.42;27426.58;212.16;667.36;;
9283203;MONTE PASCOAL;8991.79;28256.13;198.77;624.63;;
9283239;MONTE VERDE;9431.76;29664.88;220.5;693.53;;
9283306;VENICE A;1326.86;4170.6;158.28;497.5;;
9283538;LAKE ONTARIO;1089.59;3409.1;73.81;230.92;;
9283540;LAKE ERIE;1379.47;4347;84.84;267.35;;
9283617;PGC IKAROS;834.74;2635.99;149.01;470.54;;
9283629;PGC ASPROPYRGOS;636;2025.93;128.22;408.45;;
9283679;RES COGITANS;3509.99;10987.03;134.77;421.86;;
9283693;AS PALINA;10758.74;33612.2;143.27;447.59;;
9283710;TORM HORIZON;1379.4;4333.5;84.83;266.5;;
9283784;LEONORA VICTORY;1727.05;5438.21;91.93;289.48;;
9283796;DELPHI;2880.94;9035.65;127.71;400.54;;
9283863;CAPRICORNUS LEADER;1059.7;3330.37;111.25;349.65;;
9283875;PHOENIX LEADER;1791.5;5677.5;110.81;351.18;;
9283899;TANAIS DREAM;1364.7;4289.69;63.82;200.62;;
9283954;ABB BENTJE;2328.07;7352.4;63.09;199.23;;
9283966;ABB ELKE;2489.6;7821.07;55.01;172.81;;
9283978;STENBERG;2509.89;8046.71;59.97;192.26;;
9284001;PORT PEGASUS;591.81;1871.98;70.97;224.47;;
9284013;ALRAR;1785.2;5651.7;154.27;488.39;;
9284025;RHOURD ENOUSS;1680.5;5320.26;183.6;581.26;;
9284192;ARCTIC LADY;1880.59;5318.65;481.96;1363.06;;
9284269;BAKER RIVER;1710.05;5342.66;102.1;318.99;;
9284271;BULK ARA;1443.39;4538.07;186.44;586.16;;
9284300;SSI CHALLENGER;1075.53;3359.97;73.02;228.12;;
9284362;AFRICAN HAWK;327.8;1033.23;66.72;210.31;;
9284374;NORDIC JOSEPHINE;4113.32;13025.48;189.67;600.6;;
9284439;GIULIA IEVOLI;2460.2;7727.84;77.9;244.7;;
9284477;STAR ZETA;1168.86;3669.78;89.27;280.29;;
9284520;STAR HARMONY;2349.07;7427.36;80.88;255.72;;
9284544;SSI AVENGER;1434.51;4516.42;65.7;206.84;;
9284647;BIT OKTANIA;4609.6;14606.55;66.31;210.12;;
9284697;STOLT ENDURANCE;3196.5;10013.95;83.14;260.47;;
9284702;FEDERAL KUSHIRO;1403.7;4466.96;63.01;200.52;;
9284726;SHANDONG WEIHE;193;618.76;97.62;312.98;;
9284740;CENTAURUS LEADER;2290.1;7172.79;100.51;314.8;;
9284752;LYRA LEADER;496;1570.76;111.51;353.14;;
9284764;GRAND PHOENIX;4740.76;14981.57;111.83;353.41;;
9284776;GRAND PAVO;6903.97;21818.46;114.32;361.28;;
9284843;JAEGER;2528.6;7935.28;93.78;294.29;;
9284893;NAVIOS ALEGRIA;814.83;2560.03;115.06;361.48;;
9284908;STAR EMILY;744.99;2331.93;96.68;302.61;;
9284946;AUSTRALIS;0;0;Division by zero!;Division by zero!;;
9285005;OOCL ATLANTA;14961.9;47156.52;280.85;885.18;;
9285017;KANG CHENG;1159.51;3631.77;93;291.29;;
9285029;KUJAWY;2284.86;7222.23;81.48;257.55;;
9285079;KANG SHUN;0;0;Division by zero!;Division by zero!;;
9285108;NEW LIULINHAI;0;0;Division by zero!;Division by zero!;;
9285110;PLACID SEA;1814.7;5716.25;100.35;316.09;;
9285122;MAZURY;1996.45;6282.02;76.55;240.86;;
9285134;PODHALE;309.36;970.27;77.96;244.52;;
9285146;WARMIA;1118.86;3526.39;73.33;231.11;;
9285328;VERONICA PG;156.7;493.47;77.19;243.08;;
9285354;UBC TAMPICO;127.35;398.33;89.53;280.02;;
9285407;TULPAR;2308.47;7215.28;77.05;240.81;;
9285471;MSC TIANJIN;5703.93;17910.49;280.41;880.48;;
9285495;HOEGH SEOUL;1977.48;6212.52;111.37;349.87;;
9285615;MORNING CALM;1812.27;5727.11;127.71;403.57;;
9285627;MORNING CHAMPION;880.74;2808.97;144.36;460.41;;
9285639;MORNING COURIER;5134.6;16215.26;139.56;440.73;;
9285641;MORNING CROWN;2642.4;8377.21;118.33;375.15;;
9285665;MSC YOKOHAMA;18347.29;58029.87;285.88;904.2;;
9285689;GSL KALLIOPI;6354.3;19977.59;234.87;738.41;;
9285691;MSC VANCOUVER;23235.9;73272.2;292.57;922.61;;
9285835;WONDER POLARIS;975;3049.21;136.08;425.57;;
9285847;WONDER SIRIUS;3714;11681.5;201.05;632.34;;
9285859;WONDER BELLATRIX;3643;11401.8;161.55;505.61;;
9285861;MINERVA IRIS;5678.55;18006.57;145.46;461.25;;
9285938;ISABELLE G;1162.77;3648.71;90;282.43;;
9285940;JOHANNA G;2743.86;8614.17;93.14;292.4;;
9285952;LUSAIL;24752.08;71770.46;327.19;948.7;;
9285988;EUROPE;20242.56;63180.7;303.72;947.97;;
9286047;GIANNUTRI;3941.66;12587.87;88.44;282.44;;
9286059;BALTIC SUN II;3590.33;11423.04;105.74;336.41;;
9286231;CONTI EVEREST;12584.03;39742.92;328.9;1038.73;;
9286267;SEAMAX GREENWICH;16806.2;52657.3;297.29;931.47;;
9286281;KAVERI SPIRIT;1714.78;5426.18;307.36;972.61;;
9286437;IVER AGILE;1455.86;4565.52;50.31;157.76;;
9286449;MSC HOGGAR;1967.59;6210.39;65.41;206.46;;
9286554;CHEM ANTARES;1614.34;5114.16;81.9;259.44;;
9286566;YASA NESLIHAN;3387.51;10618.86;96.74;303.26;;
9286592;THALASSINI;910.45;2869.51;112.58;354.83;;
9286607;KAVO YERAKI;1682.9;5309.28;110.17;347.57;;
9286621;TRAMP LADY;2107.04;6627.3;87.25;274.42;;
9286633;PROTEFS;1923.4;6071.12;114.54;361.54;;
9286774;AS PAULINA;5798.02;18151.75;128.72;402.97;;
9286786;AS PETRONIA;10274.09;32082.47;137.37;428.95;;
9286798;MARAN INNOVATION;3689.59;11547.83;177.07;554.2;;
9286827;EKEN;2282.9;7318.97;51.66;165.64;;
9286865;NAVIOS ORBITER;668.94;2105.12;105.69;332.61;;
9286889;CHAILEASE GLORY;1504.18;4747.49;93.93;296.47;;
9286906;NAVIOS ANTHOS;3071.12;9666.99;101.24;318.66;;
9286920;BALTIA;1164.26;3699.19;116;368.56;;
9287194;JUPITER;1059.74;3343.84;105.83;333.92;;
9287297;CHEM TIGER;1734.73;5488.99;64.96;205.54;;
9287314;MANISA VERA;1963.34;6170.87;52.47;164.93;;
9287340;UBC STAVANGER;1536.72;4813.56;80.69;252.76;;
9287417;GRANDE ANVERSA;5140.88;16125.75;90.56;284.06;;
9287584;FLORENCIA;20774.4;64811.51;154.49;481.97;;
9287687;ANNAMARIE;6256.86;19513.03;80.22;250.17;;
9287704;RS LISA;5826.82;18169.39;72.1;224.83;;
9287716;FENJA;5539.96;17314.49;67.77;211.8;;
9287807;VOHBURG;5236;16786.62;66.63;213.61;;
9287900;MSC MARIA CLARA;4888.92;15547.59;180.94;575.41;;
9287924;MSC VERACRUZ;19550.2;61110.18;236.85;740.36;;
9287998;JIA HE;512.11;1603.83;93.38;292.43;;
9288021;TORM HELVIG;2978.71;9309.5;89.16;278.65;;
9288045;STATENGRACHT;6738.2;21015.15;93.88;292.79;;
9288057;SUOMIGRACHT;6528.2;20374.1;101.99;318.3;;
9288069;SAIMAAGRACHT;6806.53;21226.36;97;302.51;;
9288071;SAMPOGRACHT;6455.21;20138.69;97.27;303.47;;
9288239;AC SPLENDOR;1396.87;4392.27;78.86;247.96;;
9288289;UACC HARMONY;2654.2;8395.66;95.42;301.84;;
9288291;FEDERAL SAKURA;1825.4;5793.85;67.42;213.98;;
9288332;SEABOSS;2604.32;8210.01;104.48;329.36;;
9288344;SEALUCK II;1036.92;3265.62;99.29;312.69;;
9288356;ENERGY CHAMPION;338.8;1070.71;154.21;487.35;;
9288435;AQUA LADY;836.49;2606.27;103.53;322.56;;
9288461;GORGOYPIKOOS;0;0;Division by zero!;Division by zero!;;
9288473;GLORY;1032.75;3222.01;118.43;369.5;;
9288485;NEWSEAS JADE;650.47;2026.65;91.94;286.45;;
9288693;DELTA PIONEER;5261.37;16586.78;226.31;713.44;;
9288708;DELTA VICTORY;4016.32;12670.12;199.2;628.42;;
9288710;DELTA CAPTAIN;4195.43;13144;182.33;571.23;;
9288722;DELTA SAILOR;5508.66;17394.09;200.97;634.59;;
9288734;SEABRAVERY;5484.08;17336.14;136.9;432.76;;
9288746;SEABORN;704.61;2204.14;154.01;481.76;;
9288760;SUNNY VICTORY;2739.68;8642.72;105.66;333.32;;
9288772;DIDIMON;2697.13;8459.16;97.29;305.14;;
9288796;LUCKY LADY;199.5;627.24;123.99;389.83;;
9288813;CHAMPION ENDURANCE;1157.2;3623.2;92.72;290.32;;
9288825;WENCHE VICTORY;4506.14;14227.29;110.54;349;;
9288837;CHAMPION TIMUR;2612.43;8247.87;108.9;343.83;;
9288851;CARLTON;1980.7;6203.24;161.12;504.62;;
9288863;SEAQUEEN;3552.32;11158.07;127.52;400.53;;
9288887;NORDIC FREEDOM;3738.22;11689.13;212.08;663.16;;
9288916;CAPT THANASIS;3133.09;9908.87;105.81;334.65;;
9288942;VALLE DI NERVION;4661.24;14730.75;105.03;331.91;;
9288954;MARINER A;3318.48;10395.88;91.32;286.08;;
9289013;SPAR LYRA;1925.1;6033.79;97.65;306.05;;
9289025;SPAR LYNX;2794.9;8745.54;93.94;293.94;;
9289063;PINARA;4434.02;13845.09;88.41;276.05;;
9289087;MSC BUSAN;6902.05;21871.03;272.94;864.89;;
9289099;MSC BEIJING;5146.88;16246.5;283.67;895.42;;
9289104;MSC LUCY;15940.54;50246.43;266.79;840.95;;
9289116;MSC RITA;6468.05;20407.31;275.59;869.51;;
9289128;MSC MAEVA;9447.94;29804.09;277.74;876.13;;
9289178;XANTHOS;762.7;2421.25;115.65;367.15;;
9289180;SAFMARINE CAMEROUN;2162.86;6742.94;104.52;325.86;;
9289192;MAERSK YORKTOWN;4946.61;15414.76;107.69;335.6;;
9289518;AJAX;1762.98;5573.57;163.41;516.6;;
9289532;APOLLON;1049.67;3298.79;111.35;349.94;;
9289544;CSL ATLANTIC;0;0;Division by zero!;Division by zero!;;
9289556;CSL MANHATTAN;12647.05;39607.08;219.96;688.86;;
9289738;HIGH VALOR;2654.91;8326.48;92.93;291.46;;
9289752;RIVER SHINER;1401.93;4390.46;128.83;403.46;;
9289908;LAKE TAUPO;5625.4;17615.7;98.75;309.22;;
9289972;MSC TUXPAN;13893.98;43429.86;239.24;747.82;;
9290048;BF AYITA;2049.3;6493.88;44.23;140.16;;
9290074;ELBA;3089.23;9761.74;51.25;161.95;;
9290103;CSCL SYDNEY;10459.66;33030.21;160.81;507.82;;
9290139;CSCL BRISBANE;11056.71;34901.21;153.66;485.04;;
9290165;VICTORIA;6289.27;19587.95;92.59;288.37;;
9290177;VERA D;9089.33;28384.95;116.43;363.58;;
9290232;KAVO AETOS;0;0;Division by zero!;Division by zero!;;
9290282;MSC RACHELE;14924.52;47049.58;272.28;858.38;;
9290311;BRYANSTON;2502.9;7858.07;156.95;492.74;;
9290323;AEGEAN ANGEL;2555.16;8070.17;196.35;620.16;;
9290335;AEGEAN DIGNITY;2116.06;6706.6;201.1;637.36;;
9290359;OTTOMAN NOBILITY;5577.3;17445.68;165.72;518.38;;
9290361;SEAOATH;6186.64;19669.37;146.73;466.49;;
9290373;BESIKTAS BOSPHORUS;2919.73;9216.15;158.05;498.9;;
9290397;KRITI VIGOR;6543.13;20569.92;246.72;775.61;;
9290414;OOCL ST. LAWRENCE;9036.57;28759.43;174.62;555.75;;
9290464;SEAMAX NORWALK;17525.81;55344.6;291.06;919.12;;
9290476;MAERSK KOWLOON;1698.4;5313.42;304.86;953.76;;
9290488;BALTIC BRIDGE;7518.95;23566.05;305.98;959;;
9290505;BASILIS L;2640.43;8355.78;82.06;259.69;;
9290517;LISCA BIANCA M;4484.77;14087.52;125.96;395.66;;
9290531;MSC PAMELA;14603.88;45588.45;315.87;986.05;;
9290543;MSC SUSANNA;8955.07;28097.84;295.4;926.85;;
9290579;TORM RAGNHILD;607.8;1895.9;82.37;256.93;;
9290593;BULK CHINA;2440;7704.83;194.58;614.42;;
9290608;CHAMPION EBONY;1361.9;4310.26;104.45;330.58;;
9290658;TORM REPUBLICAN;1284.47;4034.51;83.49;262.25;;
9290828;BYRON;2359.76;7443.39;96.82;305.41;;
9290830;BLUE TRADER;1559;4889.37;152.17;477.24;;
9290892;ELIZABETH RIVER;393.15;1225.87;107.8;336.11;;
9290921;EVROS;1944.6;6112.24;82.96;260.75;;
9290933;NORDIC LUNA;4258.03;13323.42;172.87;540.93;;
9290957;TORM SIGNE;878.71;2750.04;99.31;310.81;;
9291066;HAI XING;1409.08;4394.79;70;218.33;;
9291121;KAVO ALKYON;0;0;Division by zero!;Division by zero!;;
9291224;GAZ INTERCEPTOR;1345;4221.14;51.45;161.47;;
9291248;ATHINEA;0;0;Division by zero!;Division by zero!;;
9291250;ALMI STAR;4876.43;15360.02;206.48;650.38;;
9291262;MATTERHORN SPIRIT;1667.4;5250.4;196.77;619.59;;
9291391;THOR MAXIMUS;546.94;1705.08;79.64;248.26;;
9291406;THEODOR OLDENDORFF;2069.51;6489.86;105.1;329.6;;
9291418;THOR;2204.96;6967.07;96.01;303.36;;
9291456;MTM ANTWERP;528.61;1684.32;55.36;176.39;;
9291597;YM JUPITER;1081.02;3432.97;76.13;241.76;;
9291640;ARTEMIS;1028.68;3256;127.01;402;;
9291779;AGIOS NIKOLAS;2235;7012.59;112.4;352.66;;
9291963;BBC CAMPANA;651.1;2030.53;61.36;191.34;;
9292034;TOWER BRIDGE;646.66;2039.91;90.48;285.42;;
9292060;TAVRICHESKY BRIDGE;3761.63;11845.99;92.08;289.97;;
9292113;SOMBEKE;501.8;1568.13;94.53;295.41;;
9292125;KONRAD;2783.6;8774.73;108.24;341.19;;
9292163;FRONT FORCE;308.25;977.73;720.06;2283.94;;
9292199;BESIKTAS DARDANELLES;3072.41;9716.13;209.73;663.23;;
9292204;ADYGEYA;6274.7;19920.94;141.29;448.56;;
9292278;VALLE DI GRANADA;4009.89;12692.87;111.39;352.59;;
9292280;MELORIA;3243.7;10216.89;129.48;407.83;;
9292436;AS FREYA;3827.54;11944.19;95.89;299.23;;
9292503;HELGA SPIRIT;263.32;839.38;145.96;465.29;;
9292515;ERIK SPIRIT;1682.8;5245.83;159.39;496.86;;
9292577;KRITI EMERALD;4959.1;15570.68;114.25;358.74;;
9292591;GEA;3376.52;10649.25;109.57;345.59;;
9292618;ANASTASIA;1426.41;4462.8;111.2;347.92;;
9292761;LIBRAMONT;1442.27;4525.43;105.84;332.11;;
9292840;VALTAMED;8816.75;27871.08;171.59;542.43;;
9292943;X-PRESS MONTE CERVINO;3787.2;11821.59;70.52;220.12;;
9293076;DUNKERQUE SEAWAYS;16186.14;50411.29;174.34;542.97;;
9293088;DELFT SEAWAYS;16739.15;52133.32;186.51;580.89;;
9293117;BARI;2299.17;7196.82;160.64;502.82;;
9293167;MSC RONIT R;16220.2;51312.02;260.15;822.98;;
9293179;MSC MIRELLA;11388.33;36030.62;257.25;813.88;;
9293272;GRANDE DETROIT;5783.08;18137.9;91.99;288.5;;
9293337;CASTILLO DE TRUJILLO;3815.86;11985.35;116.91;367.22;;
9293404;NURAGHES;15043.76;46969.67;228.48;713.37;;
9293416;ASSOS SEAWAYS;14232.3;44338.63;116.85;364.02;;
9293428;ARTEMIS SEAWAYS;15237.9;47467.36;119.25;371.49;;
9293442;MSC SHRISTI;6366.81;20119.15;198.17;626.23;;
9293466;CSL SOPHIE;0;0;Division by zero!;Division by zero!;;
9293519;MARVELOUS ACE;42.23;133.1;81.21;255.96;;
9293521;MIRACULOUS ACE;572.45;1804.26;97.7;307.95;;
9293545;ASPHALT CARRIER;2679.21;8539.35;50.57;161.19;;
9293583;SFL COMPOSER;1061.22;3324.8;102.07;319.78;;
9293595;EUPHONY ACE;3114.9;9832.15;89.99;284.06;;
9293612;TORRENS;2908.7;9077.78;97.7;304.9;;
9293624;TOLEDO;2135.5;6658.4;116.25;362.47;;
9293648;PARADISE ACE;2297.86;7275.49;89.86;284.51;;
9293650;LIBERTY ACE;808.15;2553.67;71.55;226.09;;
9293674;OSIRIS;346.25;1097.71;115.11;364.93;;
9293753;CONTI CORTESIA;15440.75;48384.78;263.85;826.79;;
9293894;FIRMAMENT ACE;3180.15;10043.2;93.1;294.03;;
9293909;SFL CONDUCTOR;1983.86;6234.1;109.29;343.42;;
9293923;FEDERAL KATSURA;1323.5;4205.29;65.26;207.37;;
9293961;FUTURA;2392.24;7565.17;97.91;309.62;;
9293973;LIBERA;1857.46;5825.81;86.1;270.05;;
9293997;ASTREA;4178.23;13180.2;138.72;437.58;;
9294020;JPO GEMINI;960.91;2994.3;163.12;508.29;;
9294185;CMA CGM VALPARAISO;205.29;646.87;116.44;366.91;;
9294202;RAINBOW;1480.03;4673.27;91.7;289.55;;
9294226;VOLCAN DE TIRAJANA;6848.91;21957.61;158.42;507.9;;
9294276;G BRIGHT;566.51;1793.15;59.9;189.61;;
9294288;RUNDEMANEN;848.25;2691;90.36;286.67;;
9294379;LARS MAERSK;3366.01;10512.02;147.46;460.52;;
9294381;SAFMARINE NOMAZWE;3875.28;12089.73;149.17;465.35;;
9294393;SAFMARINE NOKWANDA;3241.34;10118.54;152.36;475.62;;
9294408;MAERSK LAUNCESTON;4707;14850.84;178.64;563.62;;
9294484;MINOAN DIGNITY;962.55;3000.1;112.72;351.34;;
9294824;POHORJE;2654.9;8384.3;217.67;687.41;;
9294836;QUEBEC EXPRESS;8644.7;27187.65;166.08;522.34;;
9294977;NOVA;1489;4662.05;56.45;176.73;;
9295244;COLOMBO EXPRESS;1165.89;3658.16;236.15;740.95;;
9295256;KYOTO EXPRESS;5559.5;17524.79;212.96;671.29;;
9295268;CHICAGO EXPRESS;13065.71;40872.24;232.59;727.59;;
9295311;VALLE DI CORDOBA;4197.57;13277.43;110.2;348.57;;
9295335;BASSILEVOUSA;2821.57;8930.3;112.5;356.06;;
9295347;ADVANTAGE PARK;3277.08;10356.07;101.11;319.53;;
9295361;SANTA VANESSA;11703.8;36555.54;262.96;821.34;;
9295373;SANTA VIOLA;18446.27;57615.5;222.61;695.3;;
9295385;MSC MARTA;13452.34;42408.52;221.53;698.37;;
9295397;MSC CAROLINA;11583.8;36555.52;261.62;825.6;;
9295414;SC MONTREUX;367.36;1157.74;68.83;216.93;;
9295426;ANNELIESE ESSBERGER;2389;7659.14;46.5;149.08;;
9295438;LISA ESSBERGER;2745;8800.47;48.93;156.87;;
9295440;WILHELMINE ESSBERGER;2253;7223.12;44.77;143.54;;
9295452;TRANS EMERALD;3044.24;9617.74;51.6;163.02;;
9295505;MIZAR;204.23;644.56;92.75;292.72;;
9295517;AS FRANZISKA;1717.6;5359.54;99.66;310.97;;
9295529;AVILA;2170.46;6774.35;78.98;246.51;;
9295531;PEYTON LYNN C;3252.45;10346.38;75.01;238.6;;
9295581;HASSI MESSAOUD 2;2506.43;7926.11;150.41;475.64;;
9295830;HOEGH NEW YORK;2320;7386.31;102.13;325.16;;
9295842;HOEGH BERLIN;2792.82;8759.82;116.64;365.86;;
9295957;CHACABUCO;13747;43484.36;190.67;603.14;;
9295969;CMA CGM SAMBHAR;3788.84;11936.83;176.49;556.03;;
9295971;CMA CGM AMERICA;17397.89;54606.6;224.95;706.04;;
9296119;ROLLS I;2394.9;7591.13;96.46;305.76;;
9296195;PAROS;3733.47;11777.24;218.78;690.14;;
9296200;STAR PRINCESS;952.21;2983.57;164.57;515.65;;
9296248;OCEAN LION;1516.89;4792.48;101.15;319.57;;
9296250;YASA TEAM;1664.5;5205.07;95.94;300.01;;
9296315;LORD NELSON;715.89;2256.5;95.92;302.34;;
9296327;PUNKT;179.7;561.82;75.13;234.87;;
9296377;TOKYO SPIRIT;2177.5;6820.9;192.56;603.19;;
9296389;MONTREAL SPIRIT;3888.55;12195.54;191.81;601.57;;
9296391;RIDGEBURY MARY SELENA;5599.11;17544.25;179.09;561.18;;
9296418;RIDGEBURY LINDY B;4534.76;14216.28;199.16;624.35;;
9296597;ODORI;1961.27;6136.5;82.96;259.58;;
9296626;PEDHOULAS TRADER;3316.77;10350.95;96.27;300.44;;
9296731;STOLT COURAGE;2668.5;8356.02;85.75;268.53;;
9296793;APOLO;1294.9;4078.61;97.11;305.88;;
9296822;ANGELICA SCHULTE;885.89;2801.71;121.28;383.55;;
9296872;MTM LONDON;1856.14;5883.43;56.46;178.95;;
9297321;MINERVA ELLIE;4688.66;14884.62;149.89;475.84;;
9297333;MINERVA CLARA;4203.76;13275.16;152.02;480.08;;
9297345;ALBA;2474.4;7750.78;198.38;621.4;;
9297412;GULF HORIZON;1663;5202.63;88.83;277.89;;
9297541;BONITA;5092.46;15915.26;157.69;492.81;;
9297553;MONTEGO;5753.6;17990.06;164.23;513.5;;
9297577;KARLA A;1348.6;4210.83;89.41;279.17;;
9297589;ALANA;3603.43;11478.96;81.46;259.49;;
9297591;BIANCA RAMBOW;4213.15;13401.67;82.53;262.51;;
9297606;VISITOR;4929.31;15387.7;81.02;252.9;;
9297618;BF CARODA;1365.9;4311.69;76.11;240.25;;
9297864;MSC ANYA;11031.21;34412.73;209.76;654.37;;
9297876;MSC BHAVYA;7183.96;22692.07;200.81;634.32;;
9297890;SEACROSS;5454.31;17140.04;158.69;498.67;;
9297905;JAG LALIT;3433.85;10842.87;168.14;530.94;;
9297929;CALIPSO;2174;6862.47;103.86;327.84;;
9297931;HARVEST;1161.15;3622.52;100.43;313.31;;
9298181;SEYCHELLES PROGRESS;3119.54;9844.65;90.69;286.19;;
9298193;SEASHARK;3501.1;11090.9;107.39;340.2;;
9298272;CHEMTRANS OCEANIC;896.73;2803.03;96.11;300.41;;
9298301;CHEMTRANS BALTIC;2019.84;6312.45;101.25;316.43;;
9298325;HAMBURG STAR;828.87;2597.97;111.32;348.91;;
9298351;MIRELLA S;401.09;1252.44;86.59;270.4;;
9298363;EMANUELE S;1423.48;4501.76;67.03;211.98;;
9298375;CAROLUS MAGNUS;2061;6490.36;82.27;259.09;;
9298387;ROSY;3671.55;11571.68;85.92;270.8;;
9298399;AL THAKHIRA;19032.09;55776.72;341.22;1000.02;;
9298416;CLYDE FISHER;609.95;1955.5;67.97;217.91;;
9298492;NORTHERN OCEAN;2879.92;9099.43;104.04;328.74;;
9298507;MINERVA ANNA;3526.43;11225.62;135.01;429.77;;
9298533;THOR INSUVI;728.58;2300.56;89.09;281.31;;
9298545;BULK TRIDENT;1636.34;5186.12;88.76;281.32;;
9298595;FILICUDI M.;2466.62;7733.08;100.73;315.79;;
9298612;NCL HAUGESUND;706.5;2258.24;63.83;204.03;;
