IMO Number;Name;Total fuel consumption [m tonnes];Total CO₂ emissions [m tonnes];Fuel consumption per distance [kg / n mile];CO₂ emissions per distance [kg CO₂ / n mile];;
8705395;MEDITERRANEE;123.32;391.23;1152.52;3656.36;;
8705709;SANSOVINO;3926.96;12589.83;75.63;242.48;;
8706777;ICE GRACE;1630.2;5100.3;83.06;259.88;;
8706789;ICE GLACIER;1013.5;3179.36;78.13;245.09;;
8707329;BRETAGNE;1225.29;3928.28;Division by zero!;Division by zero!;;
8712518;GNV CRISTAL;14374;45475.25;183.39;580.2;;
8712520;GNV ATLAS;10252.41;32434.69;207.33;655.91;;
8712635;NISSOS SAMOS;9979.25;31145.25;159.12;496.6;;
8714205;MSC SABRINA;511.48;1616.34;153.46;484.95;;
8715259;SILJA SERENADE;10343.39;32592.9;206.99;652.24;;
8715857;MSC SARISKA;12271.65;38785.67;201.19;635.86;;
8715869;MSC FEDERICA;6272.83;20042.56;195.46;624.52;;
8716100;POLARIS VG;3130.7;10037.03;47.22;151.39;;
8719188;VIKING CINDERELLA;7260;23275.56;153.16;491.05;;
8800195;LA BELLE DES OCEANS;767.91;2461.9;61.19;196.17;;
8802090;BALTIC SUMMER;4064.7;12741.09;84.35;264.41;;
8803769;SILJA SYMPHONY;9433;29723.98;198.51;625.5;;
8804529;GREEN SELJE;974.6;3078.92;38.77;122.47;;
8804531;GREEN KARMØY;1801.6;5649.92;50.7;159.01;;
8804543;GREEN COOLER;588.8;1853.8;36.61;115.25;;
8804555;GREEN BODØ;1641.1;5194.94;41.97;132.87;;
8804567;GREEN EGERSUND;1494.1;4686.49;40.64;127.46;;
8804579;GREEN MALØY;1103.36;3478.42;41.61;131.18;;
8806242;ATLANTIC ROSE;324.17;1010.99;40.97;127.78;;
8807155;NEPTUNE AVRA;5079.42;16021.95;69.46;219.1;;
8808604;SILVER DANIA;1654.68;5304.91;41.81;134.05;;
8811405;MUSA OBA;2187.7;6889.05;66.05;207.99;;
8813063;RAMAGAS;2364.5;7382.5;90.33;282.03;;
8813099;EUGENIA GAS;754.22;2355.59;180.22;562.85;;
8813154;VASSILIOS;5633.34;17678.06;93.12;292.23;;
8813635;NOVA FLORIDA;824.4;2581.99;43.52;136.29;;
8818300;GRYF;4623.61;14601.46;83.3;263.08;;
8819275;AURORA;803.48;2510.74;36.49;114.04;;
8819299;GREEN AUSTEVOLL;1089.41;3446.78;47.72;150.99;;
8819304;GREEN FREEZER;1182.5;3708.99;40.75;127.81;;
8819926;DITLEV REEFER;1456.8;4608.11;100.73;318.61;;
8819938;IVAR REEFER;2437.21;7668.4;115.72;364.1;;
8820858;TRANSPORTER;4006.7;12845.48;56.76;181.96;;
8820860;EXPORTER;3480.85;11159.61;48.32;154.91;;
8821797;TAIMYR;472;1485.63;44.11;138.84;;
8850906;VOLZHSKIY-40;112.23;359.81;30.15;96.65;;
8857772;ALENA;87.75;281.33;26.1;83.68;;
8872801;PRETTY NELLY;925.3;2929.44;48.27;152.81;;
8873324;VOLZHSKIY-50;70.51;226.06;28.01;89.81;;
8873489;VOLZHSKIY-44;37.3;119.58;29.3;93.94;;
8876340;ALEXANDRA;114.2;366.12;25.62;82.13;;
8884555;BAHAR-K;343;1099.66;33.38;107.03;;
8901585;SOFIYA;970.33;3055.8;53.06;167.1;;
8902345;GOLDEN BRIDGE;7951.85;25108.73;142.31;449.37;;
8902931;JOY M;399;1259.45;52.39;165.37;;
8902955;TRUSTEE;1312.9;4209.16;147.8;473.84;;
8902967;TRIUMPH;5161.6;16544.41;160.3;513.8;;
