Name,Country Name,Latitude,Longitude,Layer,Harbor Type
WALPOLE ISLAND - Canada,Canada,42.6166666666667,-82.5166666666667,PORT - Very Small,River Natural
SOMBRA - Canada,Canada,42.7166666666667,-82.4833333333333,PORT - Very Small,River Natural
COURTRIGHT - Canada,Canada,42.8166666666667,-82.4666666666667,PORT - Very Small,River Natural
SARNIA - Canada,Canada,42.9833333333333,-82.4166666666667,PORT - Small,River Natural
POINT EDWARD - Canada,Canada,43,-82.4166666666667,PORT - Small,River Natural
GODERICH - Canada,Canada,43.75,-81.7333333333333,PORT - Small,Coastal Breakwater
PORT ELGIN - Canada,Canada,44.4333333333333,-81.4,PORT - Very Small,Coastal Breakwater
SOUTHAMPTON - Canada,Canada,44.5,-81.3833333333333,PORT - Very Small,Coastal Breakwater
TOBERMORY - Canada,Canada,45.2666666666667,-81.6666666666667,PORT - Very Small,Coastal Natural
LIONS HEAD - Canada,Canada,44.9833333333333,-81.25,PORT - Very Small,Coastal Breakwater
WIARTON - Canada,Canada,44.75,-81.1333333333333,PORT - Very Small,Coastal Natural
OWEN SOUND - Canada,Canada,44.5833333333333,-80.9333333333333,PORT - Small,River Natural
MEAFORD - Canada,Canada,44.6166666666667,-80.6,PORT - Very Small,Coastal Breakwater
THORNBURY - Canada,Canada,44.5666666666667,-80.45,PORT - Very Small,Coastal Breakwater
COLLINGWOOD - Canada,Canada,44.5,-80.2333333333333,PORT - Small,Coastal Breakwater
PENETANGUISHENE - Canada,Canada,44.7666666666667,-79.9333333333333,PORT - Very Small,Coastal Natural
MIDLAND - Canada,Canada,44.75,-79.9166666666667,PORT - Small,Coastal Natural
TIFFIN - Canada,Canada,44.75,-79.85,PORT - Very Small,Coastal Natural
PORT MCNICOLL - Canada,Canada,44.75,-79.8,PORT - Very Small,Coastal Natural
VICTORIA HARBOUR - Canada,Canada,44.75,-79.8166666666667,PORT - Very Small,Coastal Natural
WAUBAUSHENE - Canada,Canada,44.7666666666667,-79.7166666666667,PORT - Very Small,Coastal Natural
PORT SEVERN - Canada,Canada,44.8,-79.7166666666667,PORT - Very Small,River Natural
DEPOT HARBOUR - Canada,Canada,45.3166666666667,-80.1,PORT - Very Small,Coastal Natural
PARRY SOUND - Canada,Canada,45.3333333333333,-80.0333333333333,PORT - Small,Coastal Natural
BYNG INLET - Canada,Canada,45.7666666666667,-80.5666666666667,PORT - Very Small,Coastal Natural
KEY HARBOUR - Canada,Canada,45.8833333333333,-80.75,PORT - Very Small,Coastal Natural
KILLARNEY - Canada,Canada,45.9666666666667,-81.5166666666667,PORT - Very Small,Coastal Natural
MANITOWANING - Canada,Canada,45.75,-81.8,PORT - Very Small,Coastal Natural
SHEGUIANDAH - Canada,Canada,45.9,-81.9166666666667,PORT - Very Small,Coastal Natural
