MMSI,Temps de reception,RepeatIndicator,Validité,Sog,Cog,Longitude,Latitude
249051000,32,0,True,0,27,-16.24115,28.472733333333334
255806467,35,0,True,0.1,61.1,-89.90924333333334,29.897068333333333
235021512,31,0,True,7.2,289.2,-4.951128333333333,51.698903333333334
369230000,44,0,True,0,73,-74.00641333333333,40.66675333333333
224096770,36,0,True,0.5,255.2,-2.008065,43.37960333333333
232040373,60,0,True,3.8,217.3,-4.1241433333333335,49.94661333333333
235106049,37,0,True,0,156.8,-5.9145916666666665,54.609633333333335
636019753,34,0,True,0,280.2,-0.19985166666666665,53.640795000000004
368073580,36,0,True,0,360,-81.53936999999999,39.351371666666665
247290000,35,0,True,18.2,76.3,-2.4958633333333333,49.87280666666666
232002803,36,0,True,2.4,132.6,-0.19237166666666666,53.6291
209952000,35,0,True,20.2,86,-5.861666666666666,53.33235166666667
368186750,34,0,True,7.6,2.4,-81.10342666666666,32.09272166666667
256084000,36,0,True,6.4,152.3,-61.17794,14.309171666666666
235001340,35,0,True,0,32.9,-1.772375,57.503326666666666
368142010,35,0,True,0,209.3,-89.99729166666665,29.93332
755002500,35,0,True,0,360,-60.77106333333334,-32.59533833333333
720300142,34,0,True,0,262.3,-60.718039999999995,-32.77954833333333
720767000,36,0,True,5.9,174.1,-60.722865,-32.622661666666666
755109000,60,0,True,4,332.5,-60.75148333333333,-32.62385
367755350,36,0,True,0,360,-80.14083833333333,25.755386666666666
235074296,33,0,True,7,0.6,-4.194168333333334,50.389583333333334
369387000,60,0,True,0,275.5,-80.28099666666667,25.312189999999998
368058330,60,0,True,0,260.8,-75.383985,39.827128333333334
352002311,35,0,True,8.7,57,-75.22900666666666,39.86216666666667
235055752,36,0,True,0,360,-1.1925683333333335,54.7003
224063680,60,0,True,0,129.8,-2.2016666666666667,43.306066666666666
636016364,24,0,True,0,30.1,-81.13120833333333,32.11767666666667
775995110,36,0,True,0,59.5,-62.65947166666667,8.37971
356984000,30,0,True,0.4,16.6,-0.24019333333333334,49.623911666666665
367543280,36,0,True,0,0,-80.17376833333333,26.087564999999998
224162880,37,0,True,7.6,233.6,-2.4107083333333335,43.383715
235070763,34,0,True,4.7,67,-1.1105183333333335,50.80807
564749000,35,0,True,9.1,336.9,-52.09146833333333,-32.161818333333336
240904000,34,0,True,11.1,351,-75.74041666666668,10.341733333333334
367365380,36,0,True,0,256.9,-74.24030333333333,40.55703666666667
316002213,36,0,True,0.1,360,-82.40976500000001,42.983716666666666
701138000,36,0,True,0,106.4,-57.52992,-38.046103333333335
235034317,37,0,True,16.2,26.7,-5.223365,51.627065
232041699,36,1,True,8.9,133,-58.239016666666664,-34.60948333333333
311000304,34,0,True,12,40.1,-48.30623833333333,-0.5292916666666667
311000820,36,0,True,0,249.1,-1.1659616666666668,54.62515333333333
352001869,35,0,True,1.5,284.9,-5.226380000000001,36.11817833333334
227960840,37,0,True,0,360,-1.2218983333333333,46.15947333333334
370229000,36,0,True,11,296.1,-74.00678500000001,40.52488166666667
224052460,60,0,True,7.8,323.7,-2.05971,43.390305
538010381,37,0,True,0,312.2,-82.392315,27.857095
255806511,36,0,True,0,64.2,-4.420765,36.71400666666667
235118002,36,0,True,0,0,-3.4493566666666666,56.02655333333333
205103000,38,0,True,0,242.6,-3.5291799999999998,36.72275666666667
255805965,37,0,True,0,360,-15.417696666666666,28.133339999999997
263622000,34,0,True,8.4,243.7,-9.188826666666667,38.683885000000004
