MMSI,Temps de reception,Sog,Cog,Longitude,Latitude,NavigationalStatus
244660616,2023-03-24 08:12:28.127117+00:00,0,360,4.269798333333333,51.879895000000005,0
205117000,2023-03-24 08:12:28.129293+00:00,0,0,3.2013416666666665,51.322228333333335,7
235101063,2023-03-24 08:12:28.129876+00:00,0,345.8,-4.730416666666667,55.9455,0
257536700,2023-03-24 08:12:28.130399+00:00,8.9,296.8,11.43446,67.32195333333333,7
257084600,2023-03-24 08:12:28.131552+00:00,0,23,8.801666666666668,63.638333333333335,0
257714500,2023-03-24 08:12:28.148061+00:00,0.2,148.8,16.657071666666667,69.60852,0
257000260,2023-03-24 08:12:28.149016+00:00,30.8,8.4,9.891193333333332,63.93410333333334,15
259304000,2023-03-24 08:12:28.149838+00:00,0,204.4,19.988235,69.81308,0
257675800,2023-03-24 08:12:28.150732+00:00,0.3,243.7,8.268833333333333,63.339000000000006,0
258541000,2023-03-24 08:12:28.152038+00:00,6.3,3.1,11.559843333333333,67.34459166666666,7
257812800,2023-03-24 08:12:28.152627+00:00,0.1,360,6.1392516666666666,62.54802333333334,0
257088090,2023-03-24 08:12:28.152964+00:00,0,23.4,5.211304999999999,61.90215666666666,3
258018930,2023-03-24 08:12:28.154242+00:00,0,176.7,6.668094999999999,58.233266666666665,0
413309980,2023-03-24 08:12:28.155384+00:00,11.2,280.2,26.786905,60.006589999999996,0
211855000,2023-03-24 08:12:28.156695+00:00,0,0,9.976181666666667,53.54320333333333,5
244690053,2023-03-24 08:12:28.157378+00:00,6.8,82.1,5.842556666666667,51.75877,0
215281000,2023-03-24 08:12:28.158240+00:00,0,241.6,-0.3591583333333333,49.77966833333333,1
263700018,2023-03-24 08:12:28.158712+00:00,24.4,288.3,-9.078415,38.68782,7
227999100,2023-03-24 08:12:28.169089+00:00,0,354.4,-3.0012516666666667,53.408276666666666,0
244020020,2023-03-24 08:12:28.169332+00:00,0,360,5.436941666666667,53.180058333333335,8
248597000,2023-03-24 08:12:28.169558+00:00,0,32.2,7.123078333333334,43.58757166666667,5
269057090,2023-03-24 08:12:28.170236+00:00,5.7,168.8,6.731934999999999,51.20785333333333,0
636014337,2023-03-24 08:12:28.173185+00:00,0.2,286.9,23.556359999999998,37.87935,1
235067955,2023-03-24 08:12:28.174237+00:00,0,360,1.7195916666666666,52.473683333333334,0
511100445,2023-03-24 08:12:28.202745+00:00,0.3,12,33.337959999999995,34.71201333333333,0
255806043,2023-03-24 08:12:28.205104+00:00,0,215.3,-15.417480000000001,28.142813333333333,5
244660009,2023-03-24 08:12:28.206136+00:00,0,213.9,4.128103333333334,51.95217666666667,0
244130638,2023-03-24 08:12:28.209388+00:00,0,360,4.859415,52.38247,0
244820613,2023-03-24 08:12:28.210115+00:00,0,360,4.8590366666666664,52.38275333333333,5
212637000,2023-03-24 08:12:28.211947+00:00,7,45.7,1.49055,50.90232,0
244700879,2023-03-24 08:12:28.233573+00:00,0.2,113.8,6.044178333333333,51.87018166666667,0
232014850,2023-03-24 08:12:28.239598+00:00,0,360,0.35319666666666666,51.46105,0
