;;Totals;;;;;;;;;;;Average energy efficiency;;;;;;;;;;;;Distance and time;;;Average energy efficiency on Laden Voyages;;;;;;;;;;;;Additional voluntary reporting;
IMO Number;Name;Total fuel consumption [m tonnes];Fuel consumptions assigned to On laden [m tonnes];Total CO₂ emissions [m tonnes];CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes];CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes];CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes];CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes];CO₂ emissions assigned to Passenger transport [m tonnes];CO₂ emissions assigned to Freight transport [m tonnes];CO₂ emissions assigned to On laden [m tonnes];Annual Total time spent at sea [hours];Annual average Fuel consumption per distance [kg / n mile];Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles];Annual average Fuel consumption per transport work (volume) [g / m³ · n miles];Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles];Annual average Fuel consumption per transport work (pax) [g / pax · n miles];Annual average Fuel consumption per transport work (freight) [g / m tonnes · n miles];Annual average CO₂ emissions per distance [kg CO₂ / n mile];Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles];Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles];Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles];Annual average CO₂ emissions per transport work (pax) [g CO₂ / pax · n miles];Annual average CO₂ emissions per transport work (freight) [g CO₂ / m tonnes · n miles];Through ice [n miles];Total time spent at sea [hours];Total time spent at sea through ice [hours];Fuel consumption per distance on laden voyages [kg / n mile];Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles];Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles];Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles];Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles];Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles];CO₂ emissions per distance on laden voyages [kg CO₂ / n mile];CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles];CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles];CO₂ emissions per transport work (dwt) on laden voyages [g CO₂ / dwt carried · n miles];CO₂ emissions per transport work (pax) on laden voyages [g CO₂ / pax · n miles];CO₂ emissions per transport work (freight) on laden voyages [g CO₂ / m tonnes · n miles];Additional information to facilitate the understanding of the reported average operational energy efficiency indicators;Average density of the cargo transported [m tonnes / m³]
9462495;ELSE;2711,09;;8490,35;0;3610,88;4756,51;122,96;N/A;N/A;;1320,92;174,7;2,13;N/A;N/A;N/A;N/A;547,1;6,66;N/A;N/A;N/A;N/A;N/A;1320,92;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9462512;EURYDICE D;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;N/A;0;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9462794;OOCL RAUMA;4924,64;;15788,4;15154,02;0;0;634,37;N/A;N/A;;6925,58;88,6;9,8;N/A;N/A;N/A;N/A;284,06;31,42;N/A;N/A;N/A;N/A;0;6925,58;0;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9462859;KAPITAN CHEKHA;264;;846,38;114;234;448;49;N/A;N/A;;1511;22,52;5,08;N/A;5,08;N/A;N/A;72,2;16,28;N/A;16,28;N/A;N/A;;1511;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9462926;DECATHLON;7975,02;;24954,07;1999,44;9587,52;11869,69;1500,09;N/A;N/A;;4252,42;161,69;2,56;N/A;N/A;N/A;N/A;505,94;8;N/A;N/A;N/A;N/A;N/A;4252,42;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9463059;MSC ELISA;1658,45;;5174,29;271,23;2738,5;1887,32;277,25;N/A;N/A;;345,8;377,35;4,6;N/A;N/A;N/A;N/A;1177,31;14,35;N/A;N/A;N/A;N/A;N/A;345,8;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9463205;MSC IMMACOLATA;6644,34;;20819,77;2028,84;7242,66;10431,69;1116,59;N/A;N/A;;4600,3;115,04;44,73;N/A;;N/A;N/A;360,48;140,15;N/A;;N/A;N/A;N/A;4600,3;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9463308;JAG ANAND;3960,02;;12413,38;1208,18;5352,5;5551,95;300,76;N/A;N/A;;3251;148,9;1,9;N/A;N/A;N/A;N/A;466,76;5,97;N/A;N/A;N/A;N/A;N/A;3251;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9463437;ERIEBORG;2473;;7775,81;2159,62;2784,36;2627,84;205,5;N/A;N/A;;5729;49,4;Division by zero!;N/A;5,76;N/A;N/A;155,33;Division by zero!;N/A;18,11;N/A;N/A;;5729;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9463449;EDENBORG;2465;;7775,37;3331,85;2014,33;2218,67;208,36;N/A;N/A;;5680;52,51;Division by zero!;N/A;6,07;N/A;N/A;165,64;Division by zero!;N/A;19,16;N/A;N/A;;5680;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9463451;EBROBORG;2704;;8529,92;1730,53;3120,95;3482,03;197,47;N/A;N/A;;5427;60,07;Division by zero!;N/A;6,47;N/A;N/A;189,49;Division by zero!;N/A;20,42;N/A;N/A;;5427;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9463542;SIDER JASMINE;1567,61;;4909,44;2399;1388;877;246;N/A;N/A;;3460,4;76,25;12,73;N/A;9,97;N/A;N/A;238,8;39,86;N/A;31,23;N/A;N/A;N/A;3460,4;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9463554;NOMADIC MILDE;3208,07;;10063,58;3309,36;3263,95;2757,24;733,02;N/A;N/A;;4786,76;62,48;;N/A;13,63;N/A;N/A;196,01;;N/A;42,75;N/A;N/A;N/A;4786,76;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9463566;CELINE C;2470,09;;7708,94;1975,65;3332,59;2336,9;63,8;N/A;N/A;;5184,63;56,28;;N/A;6,49;N/A;N/A;175,65;;N/A;20,27;N/A;N/A;;5184,63;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9463578;SLOMAN DISCHARGER;1068,1;;3350,55;933,3;1566,67;813,72;36,87;N/A;N/A;;2002,19;57,69;Division by zero!;N/A;9,01;N/A;N/A;180,98;Division by zero!;N/A;28,28;N/A;N/A;N/A;2002,19;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9463633;ROLAND OLDENDORFF;5459,39;;17110,57;93,39;7004,31;9485,22;527,66;N/A;N/A;;3853,55;149,52;1,81;N/A;N/A;N/A;N/A;468,63;5,68;N/A;N/A;N/A;N/A;N/A;3853,55;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9463645;ROBERT OLDENDORFF;2291,04;;7221,37;6,41;2871,68;4164,89;178,38;N/A;N/A;;2078,7;133,63;1,62;N/A;N/A;N/A;N/A;421,19;5,11;N/A;N/A;N/A;N/A;N/A;2078,7;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9463657;RIK OLDENDORFF;5997,06;;18763,86;0;8734,98;9794,88;234;N/A;N/A;;5501,03;137,62;2,8;N/A;N/A;N/A;N/A;430,59;8,75;N/A;N/A;N/A;N/A;N/A;5501,03;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9463669;REDMER OLDENDORFF;2127,15;;6637,29;0;3414,68;3113,35;109,26;N/A;N/A;;2139,79;157,86;2,66;N/A;N/A;N/A;N/A;492,57;8,29;N/A;N/A;N/A;N/A;N/A;2139,79;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9463671;REX OLDENDORFF;4118,9;;12965,84;2074,92;4044,59;6291,38;554,95;N/A;N/A;;2889,85;150,12;1,74;N/A;N/A;N/A;N/A;472,56;5,46;N/A;N/A;N/A;N/A;N/A;2889,85;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9463748;SKY GLOBE;3011,74;;9400,88;4043,34;1771,68;3266,12;319,75;N/A;N/A;;1401;180,66;5,6;N/A;N/A;N/A;N/A;563,91;17,48;N/A;N/A;N/A;N/A;N/A;1401;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464027;BENJAMAS NAREE;994,08;;3098,31;183,6;493,71;2375,35;45,65;N/A;N/A;;1134,62;88,03;3,69;N/A;N/A;N/A;N/A;274,36;11,49;N/A;N/A;N/A;N/A;N/A;1134,62;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464039;CHINTANA NAREE;1759,02;;5526,07;625,07;3275,17;1410,52;215,32;N/A;N/A;;2434,1;91,37;4,56;N/A;N/A;N/A;N/A;287,04;14,32;N/A;N/A;N/A;N/A;N/A;2434,1;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464285;MRC MINA;3151,37;2688,91;9890,49;5789,32;1288,8;2369,49;389,02;N/A;N/A;8429,36;6250,11;57,82;11,64;N/A;N/A;N/A;N/A;181,45;36,54;N/A;N/A;N/A;N/A;N/A;6250,11;N/A;57,08;9,94;N/A;N/A;N/A;N/A;178,92;31,14;N/A;N/A;N/A;N/A;;
9464352;LUCKY SAILOR;2611,57;;8212,52;1793,8;2590,44;2834,46;993,83;N/A;N/A;;4871,7;81,4;4,73;N/A;N/A;N/A;N/A;255,98;14,87;N/A;N/A;N/A;N/A;N/A;4871,7;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464364;AGIOS NIKOLAOS IV;2128,95;;6663,41;1242,04;2079,25;2742,5;599,62;N/A;N/A;;4790,9;82,45;5,14;N/A;N/A;N/A;N/A;258,07;16,1;N/A;N/A;N/A;N/A;N/A;4790,9;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464376;BALTIC SWIFT;4881,91;;15433,74;9403,45;759,46;1145,81;4124,98;N/A;N/A;;5200,85;131,15;7,48;N/A;N/A;N/A;N/A;414,61;23,64;N/A;N/A;N/A;N/A;;5200,85;;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464388;AEGEAN HIGHWAY;4253,1;;13350,07;3395,64;4613,31;4743,2;597,92;N/A;N/A;;2828,8;104,44;18,6;N/A;;N/A;N/A;327,83;58,38;N/A;;N/A;N/A;N/A;2828,8;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9464455;CRONUS LEADER;2362,81;;7399,13;2536,95;2457,34;2015,54;389,3;N/A;N/A;;1511,1;107,81;21,24;N/A;Division by zero!;N/A;N/A;337,6;66,52;N/A;Division by zero!;N/A;N/A;N/A;1511,1;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9464522;GLORY DINA;1094;;3416,85;1102,22;524,87;1688,76;182,43;N/A;N/A;;2164,8;62,5;0,6;N/A;N/A;N/A;N/A;195,19;1,89;N/A;N/A;N/A;N/A;N/A;2164,8;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464534;MARIKA;813,79;;2536,44;228,67;332,2;1898,76;76,82;N/A;N/A;;1295,41;68,54;3,5;N/A;N/A;N/A;N/A;213,61;10,9;N/A;N/A;N/A;N/A;N/A;1295,41;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464546;IDSHIP BULKER;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;N/A;0;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464558;HANNAH;1787,1;;5597;913,8;1969,84;2453,67;259,69;N/A;N/A;;3341,71;63,4;3,01;N/A;N/A;N/A;N/A;198,57;9,44;N/A;N/A;N/A;N/A;N/A;3341,71;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464560;ATLANTIC SYMPHONY;3681,7;2944,94;11541,66;2486,44;4046,34;4558,92;449,96;N/A;N/A;9208,2;2915,6;104,72;3,86;N/A;N/A;N/A;N/A;328,27;12,09;N/A;N/A;N/A;N/A;N/A;2915,6;N/A;100,92;3,08;N/A;N/A;N/A;N/A;315,55;9,64;N/A;N/A;N/A;N/A;;
9464651;MINI;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;N/A;0;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464687;ROBIN HUNTER;1374,22;;4279,32;0;1210,04;2965,24;104,04;N/A;N/A;;717,6;175,8;6,06;N/A;N/A;N/A;N/A;547,43;18,87;N/A;N/A;N/A;N/A;N/A;717,6;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464716;ALS CERES;3566,42;;11137,5;476,6;5980,2;4599,23;81,46;N/A;N/A;;1198,3;197,66;5,89;N/A;N/A;N/A;N/A;617,28;18,38;N/A;N/A;N/A;N/A;N/A;1198,3;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464792;KARIMU;486,32;;1519,62;0;1518,92;0;0,71;N/A;N/A;;376,75;113,18;Division by zero!;N/A;N/A;N/A;N/A;353,65;Division by zero!;N/A;N/A;N/A;N/A;N/A;376,75;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9464950;VOGE MIA;1327,55;;4164,36;1641,23;0;2329,24;193,9;N/A;N/A;;1807,59;72;2,45;N/A;N/A;N/A;N/A;225,86;7,7;N/A;N/A;N/A;N/A;N/A;1807,59;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465095;NORTHERN JAVELIN;5454;;17009,79;4778;4110;7055;1067;N/A;N/A;;1491;301,13;5,27;N/A;N/A;N/A;N/A;939,14;16,43;N/A;N/A;N/A;N/A;N/A;1491;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465186;OCEAN CAMELOT;3171,38;;9952,97;1797,47;2413,1;5134,24;608,17;N/A;N/A;;2430,13;181,89;1,4;N/A;N/A;N/A;N/A;570,83;4,39;N/A;N/A;N/A;N/A;N/A;2430,13;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465239;PASSIO PER FORMENTERA;5894,91;N/A;18507,53;16534,39;0;0;1973,1;8161,84;10345,7;N/A;2993;108,34;N/A;N/A;N/A;872,13;872,01;340,14;N/A;N/A;N/A;2738,12;2737,75;N/A;2993;N/A;;N/A;N/A;N/A;;;;N/A;N/A;N/A;;;;
9465241;MSC CRISTINA;19930,71;;62253,16;26853,68;23074,98;9988,08;2336,43;N/A;N/A;;4559,6;338,73;3,05;N/A;N/A;N/A;N/A;1058,03;9,52;N/A;N/A;N/A;N/A;N/A;4559,6;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465253;MSC BENEDETTA;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;N/A;0;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465265;MSC VEGA;3757,8;;11737,99;3519,07;1401,92;6485,53;331,47;N/A;N/A;;792;311,73;3,35;N/A;N/A;N/A;N/A;973,72;10,47;N/A;N/A;N/A;N/A;N/A;792;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465277;MSC ALTAIR;2779,52;;8682,71;1529,78;782,55;5419,41;950,98;N/A;N/A;;540,6;321,74;3,06;N/A;N/A;N/A;N/A;1005,06;9,56;N/A;N/A;N/A;N/A;N/A;540,6;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465368;AGIOS FANOURIOS;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;N/A;0;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465370;GRANDE TOGO;6055,84;;18927,69;3654,93;4109,29;9759,94;1403,52;N/A;N/A;;2747,5;127,8;N/A;3,63;N/A;N/A;N/A;399,45;N/A;11,34;N/A;N/A;N/A;N/A;2747,5;N/A;;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;
9465382;GRANDE COSTA D'AVORIO;6138,5;;19153,69;4115,13;4883,25;8816,42;1338,89;N/A;N/A;;2751,3;139,12;N/A;3,76;N/A;N/A;N/A;434,09;N/A;11,73;N/A;N/A;N/A;N/A;2751,3;N/A;;N/A;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;;
9465411;BLUE MASTER II;5747,96;;17987,2;3677,03;6587,6;6852,82;869,76;N/A;N/A;;3920,64;115,44;;N/A;4,14;N/A;N/A;361,24;;N/A;12,97;N/A;N/A;N/A;3920,64;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9465423;GOLDEN KAROO;5949,48;;18618,69;4150,9;7517,41;6134,15;816,23;N/A;N/A;;4339;107,74;;N/A;3,59;N/A;N/A;337,18;;N/A;11,24;N/A;N/A;N/A;4339;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9465435;BRIGHT SKY;6430,73;;20117,72;3952,94;6640,29;8794,74;729,75;N/A;N/A;;4123,37;118,33;;N/A;3,86;N/A;N/A;370,17;;N/A;12,09;N/A;N/A;N/A;4123,37;N/A;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9465514;EUROCARGO MALTA;13203,2;;41196,82;38710,25;0;0;2486,57;N/A;N/A;;5130,56;136,13;28,87;N/A;N/A;N/A;N/A;424,74;90,08;N/A;N/A;N/A;N/A;N/A;5130,56;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465526;EUROCARGO ROMA;16244,52;;50660,47;50660,47;0;0;1956,94;N/A;N/A;;5551,28;150,65;29,19;N/A;N/A;N/A;N/A;469,82;91,02;N/A;N/A;N/A;N/A;N/A;5551,28;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465538;EUROCARGO PALERMO;12330,97;;38486,76;35770,25;0;0;2716,51;N/A;N/A;;4413,56;149,66;26,37;N/A;N/A;N/A;N/A;467,12;82,3;N/A;N/A;N/A;N/A;N/A;4413,56;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465540;EUROCARGO ALEXANDRIA;13014,4;;40625,8;37667,3;0;0;2958,5;N/A;N/A;;4727,95;141,33;31,18;N/A;N/A;N/A;N/A;441,17;97,34;N/A;N/A;N/A;N/A;N/A;4727,95;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465552;EUROCARGO VENEZIA;13565,5;;42330,37;39728,06;0;0;2602,31;N/A;N/A;;5168,8;139,8;30,81;N/A;N/A;N/A;N/A;436,25;96,15;N/A;N/A;N/A;N/A;N/A;5168,8;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465734;AP LIBERTAS;2451,61;;7672,84;1548,12;2811,5;3102,66;211,15;N/A;N/A;;3010;108,15;0,63;N/A;N/A;N/A;N/A;338,49;1,98;N/A;N/A;N/A;N/A;N/A;3010;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465772;TINA IV;2107,9;;6576,5;790,03;1287,08;4100,94;398,44;N/A;N/A;;1392;132,31;2,24;N/A;N/A;N/A;N/A;412,81;6,99;N/A;N/A;N/A;N/A;N/A;1392;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465801;AMALFI;1032,26;;3229,91;272,69;1344,96;1519,94;92,33;N/A;N/A;;850,1;116,02;3,14;N/A;N/A;N/A;N/A;363,03;9,81;N/A;N/A;N/A;N/A;N/A;850,1;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465966;TORM ALICE;1392,51;;4344,3;221,47;1808,66;2084,51;204,74;N/A;N/A;;1237,7;99,96;2,55;N/A;N/A;N/A;N/A;311,84;7,95;N/A;N/A;N/A;N/A;N/A;1237,7;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465978;TORM ASLAUG;653,69;;2049,44;0;282;1675,44;73,55;N/A;N/A;;774;81,51;2,56;N/A;N/A;N/A;N/A;255,56;8,02;N/A;N/A;N/A;N/A;N/A;774;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9465980;TORM ALMENA;2370,98;;7420,36;421,88;2331,07;3905,77;245,54;N/A;N/A;;2147,2;96,58;2,96;N/A;N/A;N/A;N/A;302,25;9,25;N/A;N/A;N/A;N/A;N/A;2147,2;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466001;TORM ALEXANDRA;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;N/A;0;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466013;TORM AGNETE;3150,88;;9878,26;953,49;5024,67;3198,98;419,64;N/A;N/A;;3041,6;90,89;3,61;N/A;N/A;N/A;N/A;284,95;11,33;N/A;N/A;N/A;N/A;N/A;3041,6;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466025;TORM AMALIE;0;;0;0;0;0;0;N/A;N/A;;0;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;Division by zero!;Division by zero!;N/A;N/A;N/A;N/A;N/A;0;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466051;AZORESBORG;3208;;10124,03;1485,08;4502,11;3438,58;699,55;N/A;N/A;;4023;75,07;Division by zero!;N/A;7,4;N/A;N/A;236,92;Division by zero!;N/A;23,34;N/A;N/A;;4023;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466130;PEARY SPIRIT;10271,1;;32929,15;32166,12;0;0;763,03;N/A;N/A;;8700,93;211,95;3,04;N/A;N/A;N/A;N/A;679,5;9,76;N/A;N/A;N/A;N/A;N/A;8700,93;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466142;SCOTT SPIRIT;7531,6;;24146,31;22118,84;0;0;2027,47;N/A;N/A;;7325,26;262,33;8,01;N/A;N/A;N/A;N/A;841,03;25,69;N/A;N/A;N/A;N/A;N/A;7325,26;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466295;ARUBABORG;1657;;5231,75;477,81;3375;1146,45;231,35;N/A;N/A;;2037;77,66;Division by zero!;N/A;6,01;N/A;N/A;245,21;Division by zero!;N/A;18,98;N/A;N/A;;2037;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466300;ALBANYBORG;4050;;12742,52;1667,41;5551,16;5045,23;476,58;N/A;N/A;;5144;73,79;Division by zero!;N/A;6,03;N/A;N/A;232,18;Division by zero!;N/A;18,97;N/A;N/A;;5144;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466312;ARAGONBORG;3045;;9553,71;2830,96;3487,23;2715,41;518,06;N/A;N/A;;4367;82,09;Division by zero!;N/A;7,56;N/A;N/A;257,55;Division by zero!;N/A;23,71;N/A;N/A;;4367;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466324;ANDESBORG;1119;;3512,53;2310,36;97,82;887,24;218,14;N/A;N/A;;1486;67,76;Division by zero!;N/A;7,12;N/A;N/A;212,7;Division by zero!;N/A;22,35;N/A;N/A;;1486;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466336;AMURBORG;1870;;5892,82;1422,26;1895,29;1781,36;792,98;N/A;N/A;;2271;82,48;Division by zero!;N/A;7,81;N/A;N/A;259,93;Division by zero!;N/A;24,63;N/A;N/A;;2271;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466348;ALAMOSBORG;2344;;7391,49;2353,78;2102,5;2680,96;256,61;N/A;N/A;;3095;72,25;Division by zero!;N/A;8,04;N/A;N/A;227,84;Division by zero!;N/A;25,36;N/A;N/A;;3095;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466350;ATLANTICBORG;2805;;8835,33;1141,4;3467,19;3968,17;259,65;N/A;N/A;;3725;73,27;Division by zero!;N/A;7,83;N/A;N/A;230,79;Division by zero!;N/A;24,68;N/A;N/A;;3725;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466362;AVONBORG;2714;;8464,18;838,46;3853,52;3491,09;277,96;N/A;N/A;;3138;70,45;Division by zero!;N/A;5,78;N/A;N/A;219,7;Division by zero!;N/A;18,03;N/A;N/A;;3138;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466374;ALASKABORG;1529;;4826,07;1856,31;1440,79;1377,71;155,18;N/A;N/A;;2296;72,8;Division by zero!;N/A;6,9;N/A;N/A;229,77;Division by zero!;N/A;21,79;N/A;N/A;;2296;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9466714;SLOMAN HERA;3168,54;;9989,16;6608,78;697,59;1114,65;1568,15;N/A;N/A;;5299,94;74,94;9,14;N/A;N/A;N/A;N/A;236,26;28,82;N/A;N/A;N/A;N/A;N/A;5299,94;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466738;SLOMAN HERMES;2855,56;;9085,13;4182,88;1685,33;2122,97;1093,95;N/A;N/A;;4966,05;84,2;8,63;N/A;N/A;N/A;N/A;267,89;27,45;N/A;N/A;N/A;N/A;N/A;4966,05;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466740;SLOMAN HELIOS;1089,49;;3456,25;1685,63;153,89;1027,4;589,33;N/A;N/A;;2649,9;74,96;7,17;N/A;N/A;N/A;N/A;237,8;22,75;N/A;N/A;N/A;N/A;N/A;2649,9;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466867;CSCL STAR;25956,94;;80917,32;24657,36;24595,43;29813,47;1851,06;N/A;N/A;;4409,45;337,11;3,06;N/A;N/A;N/A;N/A;1050,91;9,54;N/A;N/A;N/A;N/A;N/A;4409,45;N/A;;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;N/A;;
9466996;NUNALIK;2128,6;;6684,36;1123,53;2416,98;2962,15;181,7;N/A;N/A;;2783,51;62,44;11,7;N/A;6,77;N/A;N/A;196,08;36,73;N/A;21,25;N/A;N/A;;2783,51;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
9467017;SOPHIA;1801,2;;5641,26;1410,89;3242,45;872,02;115,9;N/A;N/A;;2421,77;65,92;Division by zero!;N/A;10,55;N/A;N/A;206,44;Division by zero!;N/A;33,03;N/A;N/A;;2421,77;;;;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;
